GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aril-batch-sdk,com.aril.arilbatchsdk.core.explore,ArilJobExplorer,0,23,0,0,0,5,0,3,0,3
aril-batch-sdk,com.aril.arilbatchsdk.adapter.kafka,KafkaConsumerStatsAdapter,7,112,3,5,3,23,3,10,0,9
aril-batch-sdk,com.aril.arilbatchsdk.adapter.kafka,ArilKafkaProducerAdapter,14,10,0,0,5,2,1,2,1,2
aril-batch-sdk,com.aril.arilbatchsdk.core.item.data,RepositoryItemIdempotentWriterBuilder,3,86,1,1,1,27,1,9,0,9
aril-batch-sdk,com.aril.arilbatchsdk.core.item.data,RepositoryItemIdempotentWriter,31,54,5,3,8,13,5,6,1,6
aril-batch-sdk,com.aril.arilbatchsdk.core.transform,MapFieldExtractor,0,34,0,2,0,6,0,3,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.transform,CompositeFieldExtractor,0,45,0,4,0,11,0,5,0,3
aril-batch-sdk,com.aril.arilbatchsdk.core.tasklet.export,ExportMetadataTasklet,0,39,0,0,0,5,0,3,0,3
aril-batch-sdk,com.aril.arilbatchsdk.core.item.controller,ControllerItemReaderBuilder,16,106,2,2,6,31,5,8,3,8
aril-batch-sdk,com.aril.arilbatchsdk.core.item.controller,ControllerItemReader,46,182,16,16,8,38,15,11,0,10
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToDbJobParameter.BatchServiceToDbJobParameterBuilder,38,19,2,2,0,1,5,3,3,3
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToServiceJobParameter,27,69,4,4,3,8,6,8,2,8
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToServiceJobParameter.BatchDbToServiceJobParameterBuilder,32,25,2,2,0,1,4,4,2,4
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchControllerToCsvJobParameter.BatchControllerToCsvJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToKafkaJobParameter,27,76,4,4,3,9,6,9,2,9
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToKafkaJobParameter.BatchDbToKafkaJobParameterBuilder,45,19,2,2,0,1,6,3,4,3
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToDbJobParameter,75,69,10,4,5,8,11,8,4,8
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToExcelJobParameter.BatchDbToExcelJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToKafkaJobParameter.BatchExcelToKafkaJobParameterBuilder,60,35,4,4,0,1,8,5,4,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToDbJobParameter.BatchExcelToDbJobParameterBuilder,57,33,3,3,0,1,7,5,4,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchControllerToCsvJobParameter.BatchControllerToCsvJobParameterBuilder,34,31,2,2,0,1,4,5,2,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchControllerToCsvJobParameter,57,54,9,3,4,7,9,7,3,7
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToKafkaJobParameter.BatchDbToKafkaJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchControllerToExcelJobParameter.BatchControllerToExcelJobParameterBuilder,43,31,2,2,0,1,5,5,3,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchControllerToExcelJobParameter.BatchControllerToExcelJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToExcelJobParameter.BatchServiceToExcelJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BaseBatchJobParameter,52,57,5,3,2,7,7,8,3,8
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToDbJobParameter,75,69,10,4,5,8,11,8,4,8
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToDbJobParameter.BatchExcelToDbJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToKafkaJobParameter.BatchServiceToKafkaJobParameterBuilder,45,19,2,2,0,1,6,3,4,3
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToDbJobParameter.BatchCsvToDbJobParameterBuilder,57,33,3,3,0,1,7,5,4,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToServiceJobParameter.BatchCsvToServiceJobParameterBuilder,57,33,3,3,0,1,7,5,4,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToKafkaJobParameter,45,49,6,2,2,6,6,7,2,7
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchControllerToExcelJobParameter,58,59,9,3,4,8,9,8,3,8
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToExcelJobParameter,54,63,8,4,4,8,9,8,3,8
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToKafkaJobParameter.BatchExcelToKafkaJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToServiceJobParameter,42,42,6,2,2,5,6,6,2,6
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToServiceJobParameter.BatchDbToServiceJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToExcelJobParameter.BatchDbToExcelJobParameterBuilder,43,31,2,2,0,1,5,5,3,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToCsvJobParameter.BatchDbToCsvJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToServiceJobParameter.BatchExcelToServiceJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToKafkaJobParameter,45,49,6,2,2,6,6,7,2,7
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToExcelJobParameter,58,59,9,3,4,8,9,8,3,8
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToServiceJobParameter.BatchExcelToServiceJobParameterBuilder,45,45,3,3,0,1,5,7,2,7
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToKafkaJobParameter.BatchServiceToKafkaJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToKafkaJobParameter,75,69,12,4,2,8,10,9,2,9
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BaseBatchJobParameter.BaseBatchJobParameterBuilder,36,32,1,1,0,1,4,5,3,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToDbJobParameter.BatchServiceToDbJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToServiceJobParameter.BatchCsvToServiceJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToDbJobParameter,42,42,6,2,2,5,6,6,2,6
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToCsvJobParameter.BatchDbToCsvJobParameterBuilder,40,25,2,2,0,1,5,4,3,4
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToKafkaJobParameter.BatchCsvToKafkaJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchServiceToExcelJobParameter.BatchServiceToExcelJobParameterBuilder,43,31,2,2,0,1,5,5,3,5
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchDbToCsvJobParameter,57,54,9,3,4,7,9,7,3,7
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchExcelToServiceJobParameter,27,69,4,4,3,8,6,8,2,8
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToDbJobParameter.BatchCsvToDbJobParameterBuilderImpl,0,7,0,0,0,1,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.parameter,BatchCsvToKafkaJobParameter.BatchCsvToKafkaJobParameterBuilder,64,33,3,3,0,1,8,5,5,5
aril-batch-sdk,com.aril.arilbatchsdk.core.converter,StringToBatchJobParameterWrapperConverter,5,17,1,1,0,5,1,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.converter,BatchJobParameterWrapperToStringConverter,5,9,1,1,0,3,1,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.core.converter,StringToBatchJobParameterWrapperConverter.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
aril-batch-sdk,com.aril.arilbatchsdk.core.tasklet.consumer,ConsumerTrackerTasklet,0,31,0,0,0,4,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.util,JobUtils,0,29,0,0,0,4,0,4,0,4
aril-batch-sdk,com.aril.arilbatchsdk.util,MethodInvokerUtils,32,38,3,3,8,12,2,4,0,3
aril-batch-sdk,com.aril.arilbatchsdk.util,SpecificationUtils,7,72,1,13,1,15,2,12,1,6
aril-batch-sdk,com.aril.arilbatchsdk.util,ObjectMapperUtils.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
aril-batch-sdk,com.aril.arilbatchsdk.util,GsonUtils,0,21,0,0,0,5,0,2,0,2
aril-batch-sdk,com.aril.arilbatchsdk.util,GsonUtils.new ExclusionStrategy() {...},0,12,0,0,0,3,0,3,0,3
aril-batch-sdk,com.aril.arilbatchsdk.util,MethodUtils,0,40,0,6,0,8,0,4,0,1
